TreeID,StandID,Plot,Tag,PrevPSPTag,PrevHOM,PrevDBH,PrevMS,PrevRT,PrevLA,Species,PrevStatus,PrevComments,gx,gy,PrevMainStem,PrevMulti,CrownScorch,CharUp,CharSide1,CharSide2,CharDown,PrevYear
100097,RS31,0004,100097,,137,1,,,,VAPA,1,,4.118,116.129,100095,Y,,,,,,
1600620,RS31,0000,1600620,,137,2.4,,,,THPL,1,,1.408,7.259,1600620,N,,,,,,
101499,RS31,0009,101499,,137,2.1,,,,RHMA,1,,12.748,228.75,101499,N,,,,,,
101438,RS31,0009,101438,,137,1.2,,,,RHMA,1,,22.187,233.015,101438,N,,,,,,
101492,RS31,0009,101492,,137,1.1,,,,RHMA,1,,7.005,236.993,101491,Y,,,,,,
101126,RS31,0001,101126,,137,30.8,,,,TSHE,1,BA; PMULT 0101127,2.629,26.183,101126,N,,,,,,
200221,RS31,0008,200221,,137,3.4,,,,RHMA,1,,6.549,209.957,200221,N,,,,,,
1600609,RS31,0000,1600609,,137,2.9,,,,TSHE,1,NURSE,1.4,10.416,1600609,N,,,,,,
101109,RS31,0001,101109,,137,10.8,,,,TSHE,1,LEAN; UWD; BARK DAMAGE,2.059,33.277,101109,N,,,,,,
200572,RS31,0000,200572,,137,1.7,,,,TSHE,1,,2.036,11.815,200572,N,,,,,,
100899,RS31,0000,100899,,137,6.1,,,,TSHE,1,UWD,22.473,22.753,100899,N,,,,,,
200332,RS31,0006,200332,,137,56.5,,,,PSME,1,,12.42,164.619,200332,N,,,,,,
500717,RS31,0000,500717,,137,5.7,,,,TSHE,1,NURSE,4.214,6.645,500717,N,,,,,,
100357,RS31,0009,100357,,137,4.6,,,,RHMA,1,,9.18,243.52,100357,Y,,,,,,
100257,RS31,0009,100257,,137,3.4,,,,RHMA,1,,22.528,245.277,100257,Y,,,,,,
200654,RS31,0000,200654,,137,5.8,,,,THPL,1,NURSE,2.042,6.519,200654,N,,,,,,
1600616,RS31,0000,1600616,,137,1.8,,,,VAPA,1,,1.494,9.146,1600616,N,,,,,,
100812,RS31,0003,100812,,137,19.9,,,,TSHE,1,,18.845,80.719,100812,N,,,,,,
100488,RS31,0009,100488,,137,1.5,,,,RHMA,1,,12.557,239.106,100487,Y,,,,,,
100255,RS31,0009,100255,,137,2.5,,,,RHMA,1,,22.719,244.75,100254,Y,,,,,,
200203,RS31,0007,200203,,137,2.6,,,,ACCI,1,,0E-10,196.755,200203,N,,,,,,
200563,RS31,0001,200563,,137,12.5,,,,TSHE,1,,3.821,49.263,200563,N,,,,,,
200037,RS31,0004,200037,,137,1.2,,,,VAPA,1,,9.146,122.912,200033,Y,,,,,,
200590,RS31,0000,200590,,137,1.4,,,,TSHE,1,,4.558,7.743,200590,N,,,,,,
100868,RS31,0001,100868,,137,10.6,,,,TSHE,1,WITCHES BROOM,14.098,34.057,100868,N,,,,,,
101376,RS31,0002,101376,GRID4 STNE6,137,153.5,,,,PSME,1,SMAMMAL TAG GRID4 STNE6,7.832,56.294,101376,N,,,,,,
101169,RS31,0000,101169,,137,1,,,,VAPA,1,,8.684,13.963,101164,Y,,,,,,
101370,RS31,0003,101370,,137,81.9,,,,PSME,1,,4.066,90.701,101370,N,,,,,,
200031,RS31,0004,200031,,137,1,,,,VAPA,1,,9.498,123.067,200029,Y,,,,,,
200735,RS31,0007,200735,,137,26.5,,,,PSME,1,,9.856,192.472,200735,N,,,,,,
100322,RS31,0009,100322,,137,24.8,,,,PSME,1,,12.097,247.448,100322,N,,,,,,
101122,RS31,0001,101122,,137,4,,,,TSHE,1,,9.932,25.464,101122,N,,,,,,
100927,RS31,0008,100927,,137,1.9,,,,RHMA,1,,9.26,220.647,100927,Y,,,,,,
100934,RS31,0008,100934,,137,1.4,,,,RHMA,1,,12.177,222.46,100933,Y,,,,,,
200557,RS31,0000,200557,,137,1.3,,,,VAPA,1,,1.09,14.29,200557,N,,,,,,
100978,RS31,0008,100978,,137,31.6,,,,TSHE,1,,19.175,204.409,100978,Y,,,,,,
100941,RS31,0008,100941,,137,39.4,,,,TSHE,1,,6.795,215.313,100941,N,,,,,,
100951,RS31,0008,100951,,137,67,,,,PSME,1,DEAD MULTI FUSED BELOW DBH,14.748,215.51,100951,N,,,,,,
200087,RS31,0004,200087,,137,107.8,,,,PSME,1,,11.648,103.639,200087,N,,,,,,
200767,RS31,0007,200767,,137,2.8,,,,ACCI,1,2 STEMS,18.872,179.623,200767,Y,,,,,,
200574,RS31,0000,200574,,137,1.9,,,,TSHE,1,,2.424,10.03,200574,N,,,,,,
200156,RS31,0005,200156,,137,38.9,,,,PSME,1,,24.942,136.246,200156,N,,,,,,
101396,RS31,0003,101396,,137,1.9,,,,ACCI,1,GROUND,4.741,90.924,101396,N,,,,,,
100666,RS31,0008,100666,,137,35.8,,,,PSME,1,,11.357,207.206,100666,N,,,,,,
200761,RS31,0007,200761,,137,58.9,,,,PSME,1,,10.639,179.441,200761,N,,,,,,
100020,RS31,0000,100020,,137,4.2,,,,TSHE,1,,24.557,17.018,100020,N,,,,,,
200521,RS31,0000,200521,,137,5.4,,,,TSHE,1,,7.419,11.731,200521,N,,,,,,
100361,RS31,0009,100361,,137,23.7,,,,CACH,1,,10.857,242.508,100361,Y,,,,,,
100497,RS31,0009,100497,,137,3.6,,,,RHMA,1,,19.235,240.202,100497,N,,,,,,
200346,RS31,0006,200346,,137,38.5,,,,PSME,1,,22.269,172.16,200346,N,,,,,,
200541,RS31,0000,200541,,137,1.4,,,,TSHE,1,,7.137,12.652,200541,N,,,,,,
100955,RS31,0008,100955,,137,5.2,,,,TSHE,1,LEAN AT BASE,18.614,215.052,100955,N,,,,,,
100365,RS31,0009,100365,,137,5.5,,,,RHMA,1,,11.569,244.622,100365,N,,,,,,
200168,RS31,0005,200168,,137,44,,,,PSME,1,,5.035,128.238,200168,N,,,,,,
200653,RS31,0000,200653,,137,1.5,,,,TSHE,1,NURSE,2.136,6.625,200653,N,,,,,,
100833,RS31,0002,100833,,137,23,,,,TSHE,1,,12.742,62.317,100833,N,,,,,,
101412,RS31,0009,101412,,137,1.8,,,,RHMA,1,,24.192,240.617,101412,N,,,,,,
101377,RS31,0002,101377,,137,28.8,,,,TSHE,1,,6.672,54.654,101377,N,,,,,,
200575,RS31,0000,200575,,137,1.3,,,,TSHE,1,,2.534,9.7,200575,N,,,,,,
100902,RS31,0009,100902,,137,1,,,,RHMA,1,,10.961,228.184,101500,Y,,,,,,
101389,RS31,0002,101389,,137,19,,,,TSHE,1,,0.749,65.531,101389,N,,,,,,
200516,RS31,0000,200516,,137,3.5,,,,TSHE,1,,2.93,13.914,200516,N,,,,,,
200321,RS31,0006,200321,,137,23.5,,,,THPL,1,,11.002,170.073,200321,N,,,,,,
200546,RS31,0001,200546,,137,4.7,,,,TSHE,1,,4.8,38.357,200546,N,,,,,,
100974,RS31,0008,100974,,137,1.1,,,,RHMA,1,,10.37,209.533,100974,Y,,,,,,
